Dy156 1.6120e+3	
Dy158 1.0600e+3	
Dy160 8.9000e+2	
Dy161 1.9640e+3	
Dy162 4.4600e+2	
Dy163 1.1120e+3	
Dy164 2.1200e+2	
Ho163 2.1250e+3	
Ho165 1.2800e+3	
Er162 1.6240e+3	
Er164 1.0840e+3	
Er166 5.6300e+2	
Er167 1.4250e+3	
Er168 3.3800e+2	
Er169 6.5300e+2	
Er170 1.7000e+2	
Tm169 1.1290e+3	
Tm170 1.8700e+3	
Tm171 4.8600e+2	
Yb168 1.2140e+3	
Yb170 7.6800e+2	
Yb171 1.2100e+3	
Yb172 3.4100e+2	
Yb173 7.5400e+2	
Yb174 1.5100e+2	
Yb175 5.5800e+2	
Yb176 1.1600e+2	
Lu175 1.2190e+3	
Lu176 1.6390e+3	
Hf174 9.8300e+2	
Hf176 6.2600e+2	
Hf177 1.5440e+3	
Hf178 3.1900e+2	
Hf179 9.2200e+2	
Hf180 1.5700e+2	
Hf181 1.9400e+2	
Hf182 1.4100e+2	
Ta179 1.3340e+3	
Ta180 1.4650e+3	
Ta181 7.6600e+2	
Ta182 1.1200e+3	
W180  6.6000e+2	
W182 2.7400e+2	
W183 5.1500e+2	
W184 2.2300e+2	
W185 5.8400e+2	
W186 2.3500e+2	
Re185 1.5350e+3	
Re186 1.5500e+3	
Re187 1.1600e+3	
Os184 5.9000e+2	
Os186 4.1000e+2	
Os187 9.6600e+2	
Os188 2.9300e+2	
Os189 1.1680e+3	
Os190 2.7400e+2	
Os191 1.2900e+3	
Os192 1.5500e+2	
Ir191 1.3500e+3	
Ir192 2.0800e+3	
Ir193 9.9400e+2	
Pt190 5.0800e+2	
Pt192 5.9000e+2	
Pt193 1.1230e+3	
Pt194 3.6500e+2	
Pt195 8.6000e+2	
Pt196 1.8300e+2	
Pt198 9.2200e+1	
Au197 5.8200e+2	
Au198 8.4000e+2	
Hg196 2.0400e+2	
Hg198 1.7300e+2	
Hg199 3.7400e+2	
Hg200 1.1500e+2	
Hg201 2.6400e+2	
Hg202 6.3200e+1	
Hg203 9.8000e+1	
Hg204 4.2000e+1	
Tl203 1.2400e+2	
Tl204 2.1500e+2	
Tl205 5.4000e+1	
Pb204 8.1000e+1	
Pb205 1.2500e+2	
Pb206 1.4500e+1	
Pb207 9.9000e+0	
Pb208 3.6000e-1	
Bi209 2.5600e+0	
Bi210 6.0000e+0	
