isotope, &, Solar Abun, &, Main S, &, Weak S, &, R, &, Nu-P, &, Gamma, &, SNIa, &, Massive, &, BBN, &, GCR Spallation, &, Novae/Pri GCR/Nu, &, H-Burn
               H1                &       0.70571171                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &        1.0563051                &          \nodata                &          \nodata                &          \nodata
               H2                &    1.3691337e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &        1.5665866                &          \nodata                &          \nodata                &          \nodata
              He3                &    1.1342530e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.62264467                &          \nodata                &          \nodata                &       0.37735533
              He4                &      0.068305800                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.90950289                &          \nodata                &          \nodata                &      0.090497109
              Li6                &    1.1479263e-10                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.30000001                &       0.69999999                &          \nodata
              Li7                &    1.3978260e-09                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.19498106                &       0.30000001                &       0.50501893                &          \nodata
              Be9                &    1.6640410e-11                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.25000000                &       0.75000000                &          \nodata
              B10                &    1.0145675e-10                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.25000000                &       0.75000000                &          \nodata
              B11                &    4.1043399e-10                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.25000000                &       0.75000000                &          \nodata
              C12                &    0.00019354558                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &      0.011211380                &       0.98878862                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              C13                &    2.1746695e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    2.1860367e-05                &       0.99997814                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              N14                &    5.7549557e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    4.5568393e-06                &       0.99999544                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              N15                &    2.1157926e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    3.3782838e-06                &       0.99999662                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              O16                &    0.00042717357                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &     0.0094639418                &       0.99053606                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              O17                &    1.5928637e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    6.2731746e-05                &       0.99993727                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              O18                &    8.5637830e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    8.1271216e-05                &       0.99991873                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              F19                &    2.1876634e-08                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    4.4225380e-06                &       0.99999558                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Ne20                &    8.3148230e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &    0.00082152836                &       0.99917847                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Ne21                &    1.9932002e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &     0.0036501027                &       0.99634990                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Ne22                &    6.1138802e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.38093827                &       0.61906173                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Na23                &    1.5704524e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &     0.0050839102                &       0.99491609                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Mg24                &    2.2036413e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &      0.016294648                &       0.98370535                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Mg25                &    2.7905389e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &     0.0052289630                &       0.99477104                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Mg26                &    3.0700669e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &     0.0035758872                &       0.99642411                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Al27                &    2.3013929e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &      0.073542871                &       0.92645713                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Si28                &    2.5092774e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.25116639                &       0.74883361                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Si29                &    1.2741396e-06                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.26541324                &       0.73458676                &          \nodata                &          \nodata                &          \nodata                &          \nodata
             Si30                &    8.3991837e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.42812078                &       0.57187922                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              P31                &    2.2592225e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.17323557                &       0.82676443                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              S32                &    1.0889764e-05                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.21623294                &       0.78376706                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              S33                &    8.5955526e-08                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.22809773                &       0.77190227                &          \nodata                &          \nodata                &          \nodata                &          \nodata
              S34                &    4.8307007e-07                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &          \nodata                &       0.39279084                &       0.60720916                &          \nodata                &          \nodata                &          \nodata                &          \nodata
