H2   6.92E+01
H3   0.00E+00
He3  3.97E+00
Li6  5.10E+03
Li7  6.29E+03
Li8  3.83E+03
Li9  0.00E+00
Be7  0.00E+00
Be9  1.01E+03
Be10 5.96E+02
Be11 0.00E+00
B8   0.00E+00
B10  3.84E+04
B11  6.88E+03
B12  2.14E+03
B13  1.49E+01
B14  0.00E+00
C10  0.00E+00
C11  3.27E+04
C12  2.03E+03
C13  1.39E+03
C14  2.34E+02
C15  0.00E+00
N12  0.00E+00
N13  1.13E+06
N14  1.02E+04
N15  1.39E+03
N16  3.37E+02
N17  8.73E+01
N18  0.00E+00
O13  0.00E+00
O14  0.00E+00
O15  0.00E+00
O16  4.74E+03
O17  7.76E+01
O18  2.46E+03
O19  3.20E+04
O20  0.00E+00
F16  0.00E+00
F17  1.41E+04
F18  7.23E+04
F19  8.67E+05
F20  3.50E+05
F21  4.26E+01
F22  5.88E+01
F23  0.00E+00
Ne17 2.79E+04
Ne18 2.28E+04
Ne19 1.60E+03
Ne20 1.24E+04
Ne21 2.32E+05
Ne22 8.82E+03
Ne23 1.55E+05
Ne24 0.00E+00
Na20 2.61E+04
Na21 4.51E+03
Na22 7.15E+05
Na23 3.26E+05
Na24 3.63E+05
Na25 1.43E+05
Na26 1.76E+05
Na27 0.00E+00
Mg21 1.67E+04
Mg22 5.65E+04
Mg23 4.97E+03
Mg24 5.08E+05
Mg25 9.99E+05
Mg26 1.93E+04
Mg27 3.36E+05
Mg28 3.90E+04
Mg29 0.00E+00
Al24 3.35E+04
al25 5.34E+03
al26 1.10E+06
Al27 5.83E+05
Al28 1.14E+06
Al29 1.83E+05
Al30 2.93E+05
Al31 4.55E+04
Al32 0.00E+00
Si25 1.29E+04
Si26 6.70E+04
Si27 5.39E+03
Si28 4.45E+05
Si29 1.22E+06
Si30 9.94E+05
Si31 3.84E+05
Si32 5.54E+04
Si33 0.00E+00
P28  3.87E+04
P29  7.34E+03
P30  5.89E+05
P31  2.68E+05
P32  2.46E+06
P33  4.09E+05
P34  5.52E+05
P35  3.37E+04
P36  0.00E+00
S31  7.53E+03
S32  6.27E+05
S33  1.12E+06
S34  3.44E+04
S35  7.91E+05
S36  2.50E+04
S37  1.70E+05
S38  0.00E+00
Cl32 3.85E+04
Cl33 6.16E+03
Cl34 4.15E+05
Cl35 1.52E+06
Cl36 1.81E+06
Cl37 3.28E+05
Cl38 1.86E+06
Cl39 4.99E+05
Cl40 1.74E+06
Cl41 0.00E+00
Ar35 1.13E+04
Ar36 1.35E+06
Ar37 1.56E+06
Ar38 4.48E+05
Ar39 1.23E+06
Ar40 3.89E+05
Ar41 1.04E+06
Ar42 3.51E+05
Ar43 6.92E+05
Ar44 2.19E+05
Ar45 0.00E+00
K36  6.60E+04
K37  8.22E+03
K38  8.99E+05
K39  1.79E+06
K40  4.64E+06
K41  3.37E+06
K42  9.04E+06
K43  2.12E+06
K44  4.29E+06
K45  4.84E+05
K46  5.65E+05
K47  1.70E+05
K48  0.00E+00
Ca39 1.63E+04
Ca40 9.96E+05
Ca41 4.53E+06
Ca42 2.32E+06
Ca43 7.78E+06
Ca44 1.39E+06
Ca45 2.67E+06
Ca46 7.80E+05
Ca47 3.70E+05
Ca48 1.29E+05
Ca49 0.00E+00
Sc40 1.50E+05
Sc41 1.40E+04
Sc42 1.50E+06
Sc43 4.53E+06
Sc44 8.91E+06
Sc45 1.02E+07
Sc46 1.11E+07
Sc47 4.45E+06
Sc48 1.82E+06
Sc49 4.25E+05
Sc50 5.03E+05
Sc51 0.00E+00
Ti43 3.17E+04
Ti44 9.85E+06
Ti45 7.90E+06
Ti46 3.93E+06
Ti47 9.81E+06
Ti48 4.65E+06
Ti49 3.35E+06
Ti50 5.27E+05
Ti51 8.02E+05
Ti52 0.00E+00
V46  4.79E+06
V47  8.97E+06
V48  2.24E+07
V49  1.19E+07
V50  7.49E+06
V51  5.74E+06
V52  3.59E+06
V53  1.29E+06
V54  2.96E+06
V55  0.00E+00
Cr49 1.23E+07
Cr50 7.11E+06
Cr51 1.31E+07
Cr52 1.28E+06
Cr53 8.75E+06
Cr54 9.77E+05
Cr55 1.80E+06
Cr56 5.72E+05
Cr57 0.00E+00
Mn50 3.25E+06
Mn51 7.09E+06
Mn52 1.15E+07
Mn53 1.08E+07
Mn54 1.69E+07
Mn55 5.95E+06
Mn56 8.32E+06
Mn57 2.57E+06
Mn58 5.33E+06
Mn59 1.29E+06
Mn60 0.00E+00
Fe53 6.27E+06
Fe54 4.00E+06
Fe55 1.13E+07
Fe56 1.68E+06
Fe57 6.76E+06
Fe58 1.75E+06
Fe59 3.38E+06
Fe60 7.77E+05
Fe61 1.65E+06
Fe62 0.00E+00
Co54 1.78E+06
Co55 7.17E+06
Co56 1.08E+07
Co57 1.27E+07
Co58 1.70E+07
Co59 5.71E+06
Co60 1.17E+07
Co61 4.03E+06
Co62 1.00E+07
Co63 2.19E+06
Co64 6.93E+06
Co65 0.00E+00
Ni57 8.24E+06
Ni58 5.91E+06
Ni59 1.30E+07
Ni60 4.32E+06
Ni61 1.18E+07
Ni62 5.16E+06
Ni63 4.66E+06
Ni64 1.26E+06
Ni65 3.21E+06
Ni66 6.01E+05
Ni67 0.00E+00
Cu58 7.35E+05
Cu59 1.23E+06
Cu60 3.30E+06
Cu61 9.46E+06
Cu62 1.24E+07
Cu63 1.40E+07
Cu64 2.74E+07
Cu65 6.12E+06
Cu66 1.88E+07
Cu67 4.74E+06
Cu68 9.94E+06
Cu69 2.59E+06
Cu70 0.00E+00
Zn61 9.10E+05
Zn62 1.23E+07
Zn63 7.24E+06
Zn64 8.56E+06
Zn65 2.36E+07
Zn66 5.09E+06
Zn67 2.27E+07
Zn68 2.78E+06
Zn69 1.12E+07
Zn70 3.12E+06
Zn71 7.21E+06
Zn72 1.30E+06
Zn73 3.52E+06
Zn74 0.00E+00
Ga64 1.84E+06
Ga65 5.30E+06
Ga66 1.06E+07
Ga67 3.82E+07
Ga68 5.18E+07
Ga69 2.07E+07
Ga70 4.40E+07
Ga71 1.82E+07
Ga72 4.05E+07
Ga73 9.02E+06
Ga74 2.08E+07
Ga75 2.35E+06
Ga76 1.53E+07
Ga77 0.00E+00
Ge67 5.29E+06
Ge68 2.41E+07
Ge69 5.08E+07
Ge70 1.29E+07
Ge71 3.82E+07
Ge72 1.07E+07
Ge73 3.62E+07
Ge74 7.73E+06
Ge75 1.52E+07
Ge76 4.80E+06
Ge77 7.88E+06
Ge78 9.42E+05
Ge79 0.00E+00
As70 1.47E+07
As71 5.97E+07
As72 6.54E+07
As73 5.64E+07
As74 1.15E+08
As75 8.32E+07
As76 8.14E+07
As77 2.09E+07
As78 5.55E+07
As79 1.13E+07
As80 2.81E+07
As81 3.13E+06
As82 0.00E+00
Se73 7.48E+07
Se74 3.87E+07
Se75 8.30E+07
Se76 2.40E+07
Se77 6.10E+07
Se78 1.59E+07
Se79 3.87E+07
Se80 6.16E+06
Se81 1.23E+07
Se82 1.32E+06
Se83 4.23E+06
Se84 0.00E+00
Br74 2.01E+07
Br75 5.39E+07
Br76 5.81E+07
Br77 1.04E+08
Br78 1.35E+08
Br79 9.05E+07
Br80 1.12E+08
Br81 4.59E+07
Br82 6.25E+07
Br83 1.43E+07
Br84 2.81E+07
Br85 2.00E+06
Br86 0.00E+00
Kr77 6.56E+07
Kr78 4.61E+07
Kr79 1.38E+08
Kr80 3.85E+07
