; Lodders 2020 composition
; (compiled by Kanishk Padandey, updated by Chris West, Lodders priv. comm.)
H1	7.06079076424141E-01
H2	2.77992418246874E-05
He3	3.46013059904376E-05
He4	2.76533143360650E-01
Li6	7.21635321655599E-10
Li7	1.02494883897618E-08
Be9	1.59480904281863E-10
B10	9.92855639664425E-10
B11	4.41423725175071E-09
C12	3.00841557351929E-03
C13	3.41071137628194E-05
N14	8.49021492248823E-04
N15	2.05763075582835E-06
O16	7.35677541240314E-03
O17	2.74312040316079E-06
O18	1.56291665946516E-05
F19	6.68439325463844E-07
Ne20	2.25740483522884E-03
Ne21	5.69043050513966E-06
Ne22	1.77352442570441E-04
Na23	3.69094757973513E-05
Mg24	5.39583447229585E-04
Mg25	7.11801994276103E-05
Mg26	8.14343374399834E-05
Al27	6.13220424664657E-05
Si28	7.16716596500364E-04
Si29	3.76930776983944E-05
Si30	2.57026124865985E-05
P31	7.10580065547434E-06
S32	3.69065516941461E-04
S33	2.99821686910551E-06
S34	1.73111376154086E-05
S36	6.36921051337164E-08
Cl35	3.89305496771876E-06
Cl37	1.31641238399402E-06
Ar36	8.25917007445431E-05
Ar38	1.58482351422640E-05
Ar40	2.60450913973418E-08
K39	3.63958534972400E-06
K40	5.87411374377405E-09
K41	2.76130002455167E-07
Ca40	6.15877696927965E-05
Ca42	4.31611422095721E-07
Ca43	9.22046972343232E-08
Ca44	1.45778951182653E-06
Ca46	2.92245531406016E-09
Ca48	1.42567536208165E-07
Sc45	4.21407400835901E-08
Ti46	2.58918537069962E-07
Ti47	2.38507018910525E-07
Ti48	2.41438662160971E-06
Ti49	1.80843231245220E-07
Ti50	1.76884770063811E-07
V50	9.53447547402646E-10
V51	3.88485115983706E-07
Cr50	7.91506727335690E-07
Cr52	1.58722878170961E-05
Cr53	1.83435775680673E-06
Cr54	4.65180736377023E-07
Mn55	1.38773816482167E-05
Fe54	7.64053872253810E-05
Fe56	1.24376927143847E-03
Fe57	2.92391971607927E-05
Fe58	3.95780889437794E-06
Co59	3.70547886941913E-06
Ni58	5.33152252140459E-05
Ni60	2.12442741830809E-05
Ni61	9.38887051313938E-07
Ni62	3.04258022671788E-06
Ni64	7.99874999462861E-07
Cu63	6.47038538323222E-07
Cu65	2.97495291136556E-07
Zn64	1.10041693242626E-06
Zn66	6.39986567196862E-07
Zn67	9.46561738011566E-08
Zn68	4.38671731634035E-07
Zn70	1.49467201711472E-08
Ga69	4.16185219927330E-08
Ga71	2.84222942841306E-08
Ge70	4.79555826519429E-08
Ge72	6.59550902729395E-08
Ge73	1.89075835352695E-08
Ge74	9.02074419885879E-08
Ge76	1.96468392740032E-08
As75	1.26422220250770E-08
Se74	1.19734760759712E-09
Se76	1.31375860335938E-08
Se77	1.09633261266900E-08
Se78	3.46370012407112E-08
Se80	7.47157602118679E-08
Se82	1.35681335563053E-08
Br79	1.37124504266306E-08
Br81	1.36790306277029E-08
Kr78	4.05450440659759E-10
Kr80	2.66860801419488E-09
Kr82	1.36366471206573E-08
Kr83	1.36688271857675E-08
Kr84	6.80100730321147E-08
Kr86	2.09726613798329E-08
Rb85	1.19811007494463E-08
Rb87	5.04689657886126E-09
Sr84	3.02944856277850E-10
Sr86	5.48213772035228E-09
Sr87	3.87577065842279E-09
Sr88	4.69822044178924E-08
Y89	1.07531543661575E-08
Zr90	1.40370843345274E-08
Zr91	3.09593654052447E-09
Zr92	4.78183275234908E-09
Zr94	4.95264047319900E-09
Zr96	8.14612747413557E-10
Nb93	2.01258362123353E-09
Mo92	9.70632079483210E-10
Mo94	6.21970729066933E-10
Mo95	1.08603856167189E-09
Mo96	1.15278100525288E-09
Mo97	6.69459397675068E-10
Mo98	1.71415627904187E-09
Mo100	7.01855837390520E-10
Ru96	2.66715310017852E-10
Ru98	9.18115673859017E-11
Ru99	6.33184090482825E-10
Ru100	6.31583972087887E-10
Ru101	8.63818791814786E-10
Ru102	1.61341713766876E-09
Ru104	9.70889230256802E-10
Rh103	9.66330763985773E-10
Pd102	3.98135751207784E-11
Pd104	4.43353806251584E-10
Pd105	8.97259562040075E-10
Pd106	1.10861997585614E-09
Pd108	1.09360321337773E-09
Pd110	4.93376623714735E-10
Ag107	7.65229157132773E-10
Ag109	7.24228035476877E-10
Cd106	5.80517879892640E-11
Cd108	4.21462554094762E-11
Cd110	6.02183452918978E-10
Cd111	6.23195462792959E-10
Cd112	1.18439013850728E-09
Cd113	6.05745859970982E-10
Cd114	1.43611015251788E-09
Cd116	3.81549737610027E-10
In113	2.40403343079327E-11
In115	5.47039350273133E-10
Sn112	1.08402978129433E-10
Sn114	7.48846695526884E-11
Sn115	3.88602458568388E-11
Sn116	1.68076910254321E-09
Sn117	8.95227936429133E-10
Sn118	2.84918614061608E-09
Sn119	1.01837427242450E-09
Sn120	3.89874358193699E-09
Sn122	5.62958424355067E-10
Sn124	7.15593740613276E-10
Sb121	6.89321305308078E-10
Sb123	5.24041383305637E-10
Te120	1.50766706370816E-11
Te122	4.15612975041368E-10
Te123	1.46168301265819E-10
Te124	7.81570286227006E-10
Te125	1.16792674968019E-09
Te126	3.12530625158296E-09
Te128	5.30844349224009E-09
Te130	5.75087840992157E-09
I127	5.59454652833869E-09
Xe124	2.44794755377386E-11
Xe126	2.10747541929652E-11
Xe128	4.33334514585834E-10
Xe129	5.39684275556366E-09
Xe130	8.62449118776964E-10
Xe131	4.34865293383684E-09
Xe132	5.30746490856373E-09
Xe134	1.98870686694491E-09
Xe136	1.64110799654400E-09
Cs133	1.35867558545368E-09
Ba130	1.73793028823979E-11
