h1 0.7005969056375274 \nodata \nodata \nodata \nodata \nodata \nodata \nodata 1.064016800787773 \nodata \nodata \nodata
h2 1.3802300888776935e-05 \nodata \nodata \nodata \nodata \nodata \nodata \nodata 1.5539920215247014 \nodata \nodata \nodata
he3 1.1472471249592627e-05 \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.615592371163289 \nodata \nodata 0.384407628836711
he4 0.06908832661162 \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.8992014374049297 \nodata \nodata 0.10079856259507028
li6 1.199701887435698e-10 \nodata \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.3 0.7 \nodata
li7 1.4608726548277054e-09 \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.18656628772906395 0.3 0.5134337122709359 \nodata
be9 1.7696147756654605e-11 \nodata \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.25 0.75 \nodata
b10 9.915728418788863e-11 \nodata \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.25 0.7499999999999999 \nodata
b11 4.0095512402923797e-10 \nodata \nodata \nodata \nodata \nodata \nodata \nodata \nodata 0.25 0.75 \nodata
c12 0.0002507012977932742 \nodata \nodata \nodata \nodata \nodata 0.011211380116101184 0.9887886198838989 \nodata \nodata \nodata \nodata
c13 2.6229472134552505e-06 \nodata \nodata \nodata \nodata \nodata 2.186036670334593e-05 0.9999781396332966 \nodata \nodata \nodata \nodata
n14 6.063107945075653e-05 \nodata \nodata \nodata \nodata \nodata 4.556839340213187e-06 0.9999954431606598 \nodata \nodata \nodata \nodata
n15 1.3717438692134503e-07 \nodata \nodata \nodata \nodata \nodata 3.378283785425506e-06 0.9999966217162146 \nodata \nodata \nodata \nodata
o16 0.00045994463943091533 \nodata \nodata \nodata \nodata \nodata 0.009463941754356107 0.9905360582456441 \nodata \nodata \nodata \nodata
o17 1.613682629890038e-07 \nodata \nodata \nodata \nodata \nodata 6.273174554029827e-05 0.9999372682544596 \nodata \nodata \nodata \nodata
